id,family_unit_id,contact_id,start_date,end_date
96861c12-dedc-5736-83ce-9867c672649e,396e8ef2-8d08-548d-960a-8da6adc8059e,0501440c-0114-5d53-bb84-3db3dea7335c,2026-01-01,
50294444-dcc5-5d5d-8535-3cfc5f760826,431c94ae-d199-5a5f-a74c-41be57ffd998,0a00439f-76ff-5fae-b93c-22540659582e,2026-01-01,
239beeb9-3660-5e29-9e63-d80a44ce18cf,38c5de2d-0bda-581e-b8e3-7949ad751363,cdc701e9-8c9d-5013-a8ce-96656d840406,2026-01-01,
10296c79-7a72-5563-a5d6-69c82fd9f495,2d7996d9-6f30-5dbe-a002-cc18745352d5,06992024-2cc2-5a57-a9e6-e6adaded018e,2026-01-01,
12d8ea66-229f-5446-a65e-348a35003a3a,bd3faec1-be04-55fd-9473-1ff21a604e08,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,2026-01-01,
73bd17ff-10fe-53fd-be25-fb464a11ad34,d4bcbd9b-a7cc-5e2c-9d2a-3f7cffa5f2ff,676d2791-cc38-5d3c-971b-c03280df17da,2026-01-01,
53957a90-963c-5cb4-94e6-417f6a9cf6ed,55a5b13e-4868-5118-8f52-22a913213006,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,2026-01-01,
7b0b739c-86fe-5135-a329-63aa389f6dda,6e7215fc-f5ae-51e3-8f55-3400edc27e14,41bc09ce-2a8f-5148-8050-00047e6dc98e,2026-01-01,
acb9ca42-1516-5dfe-9a38-1cc451d33083,861d51ed-16e5-5d07-80f7-3773680eb871,82215045-ac74-5993-898d-42cbfb3c6344,2026-01-01,
a1328ad9-6bb1-522e-a72d-e89f1dcadcd3,0bc5ce3f-14a9-5a26-9938-264a009f226c,5c37cdb8-6b22-58b6-a889-485dc31d5c05,2026-01-01,
30110063-a7b0-5c56-be9e-f10464179878,88910a15-f376-5e26-8f13-2ce92c4bcde0,7f024ebd-5a64-5afe-b292-4d01fd190f50,2026-01-01,
25ba2739-edfa-5f5e-aa2d-85de0566f7c4,469fa564-2109-591a-8ce1-73e5021b540a,9df7b8bf-351b-5e30-89a6-82005d1a179f,2026-01-01,
5f052bff-362c-54d2-856e-18f0211196ab,2b58b157-9a06-5c2e-b622-b423ec43bc3c,9812d956-d5e4-5d7e-8612-28026dcd072f,2026-01-01,
2760948a-cc4b-5f83-8503-19d7ee04c0cc,1c966d1c-1f2d-5ae4-a9b5-64f618b423f6,85c08c7b-ff28-59f3-afb5-94373e48830e,2026-01-01,
7181017c-c992-592a-afea-3639e9936e29,25e9a631-b6f9-5231-9661-637da15c09a4,95d21cc9-763d-51eb-9964-f9a3daa87e3b,2026-01-01,
4af9d1ea-a614-5e9d-b3bd-b2a550bf34e7,cddf1676-7b38-551f-9054-c4178d24518c,8561f6b4-a461-5a0f-9bd7-cc73526e73bb,2026-01-01,
47d707cd-4ded-5b45-8cfc-01d6c3593ee7,4a26935b-ff16-54da-8827-23af96e01f78,59cce8c2-3411-5823-bb4b-1b5c9ad186eb,2026-01-01,
3cf46265-ce6d-576f-a022-2dabf39d3096,cbae85b3-ebec-587c-82d6-48e20740b7d0,87fa71b1-aac6-536c-bf04-3d8fdc6b1282,2026-01-01,
5fa67b6d-bdc1-50c5-8f1f-88f7aabaf97a,90de5e73-bf63-576e-a886-a8ddd275bcf8,47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,2026-01-01,
b358e41b-2779-521f-826a-c52016fba364,7df9ca00-cf97-5a45-b723-1020732dfa64,c4e44d3e-20ae-5443-804d-353533332e60,2026-01-01,
bb6afcdd-99ec-53de-ace1-c0e39ca47a37,63b61a33-a27d-503b-b722-73b0ddf823d9,0ba917eb-3677-5b87-a202-950180d75fb9,2026-01-01,
88dcca74-8a2e-5fe4-88e9-761bc0133920,3f6cc51f-ba37-58a9-a234-35be1252bc48,e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,2026-01-01,
3d080311-6728-533b-a1fd-18ecfdd77da1,f8861623-de51-5405-9538-a9f9e923c088,1d3f89bf-5ddb-5aad-8069-0d4aa57e4722,2026-01-01,
a99a9203-3eae-55cb-a4a7-0a10838afcfb,74ebfa2d-d2ca-5f14-987e-68d948d8a07e,d17408e6-e69b-5e70-84d5-7a78a69b0511,2026-01-01,
9e856327-bbd1-5599-8c35-779abff9c2f1,0b633aec-d676-562f-8446-9c9a3a2c283e,d596feae-e6d9-57f5-af88-aaf40d976564,2026-01-01,
e88d2ba7-293c-565b-8b8b-e68750e438a2,0861e8fd-a575-5910-b485-066ed0562c95,4b1919f6-449e-5c65-879b-2252f8022b9b,2026-01-01,
7367f2a8-8e1b-5f92-aa5c-31bf5f907c9b,ee14a42c-61b5-535a-838a-55e6f08687b6,cf2f656e-0260-56fe-9467-7514019dca3b,2026-01-01,
c1c8bfa6-b389-5e5b-a961-3d8f2bcc8c8e,b4887cea-16d8-55ce-80c8-66597b321422,c2fa7270-6900-5480-88ba-997f55f702cb,2026-01-01,
923127a2-ca2e-5882-9077-0fb97856d45d,6067d14a-5c7a-51b2-9806-0bbb4d9dafba,a0517e92-fe0f-56cb-b503-c0c83c6388e1,2026-01-01,
49f29f42-2a87-5a0f-aa0a-bceae85bd83d,99b75a9d-5407-5561-9751-cbd13fa3756e,dbf82876-f28a-5d7a-a26c-2afde512e303,2026-01-01,
