id,contact_id,family_unit_id,relationship
7aac57ac-674b-554a-b88b-46c75a655103,0501440c-0114-5d53-bb84-3db3dea7335c,396e8ef2-8d08-548d-960a-8da6adc8059e,parent
413cd79c-90d4-5151-94f1-c20847302809,f74d2c51-c64a-5398-99b5-49fbfb97aad8,396e8ef2-8d08-548d-960a-8da6adc8059e,child
baa31c19-48ac-548e-a9e8-1124056358e1,0a00439f-76ff-5fae-b93c-22540659582e,431c94ae-d199-5a5f-a74c-41be57ffd998,parent
892a2bc8-21a0-597e-87a4-9d1b753df32b,1d66991d-a57a-5703-84ea-5f4a1cee6720,431c94ae-d199-5a5f-a74c-41be57ffd998,child
3f9920fc-df5b-5920-b140-35160d1f18aa,cdc701e9-8c9d-5013-a8ce-96656d840406,38c5de2d-0bda-581e-b8e3-7949ad751363,parent
aceaa16f-f468-510b-9508-dd95ab8c4829,2f55596a-8dad-5e3a-8d84-89b2547366ae,38c5de2d-0bda-581e-b8e3-7949ad751363,child
cd510f6e-00bd-5236-9765-b2549f68f194,06992024-2cc2-5a57-a9e6-e6adaded018e,2d7996d9-6f30-5dbe-a002-cc18745352d5,parent
a113b463-a22d-50e7-953e-4995963d5214,461032da-a32f-5bc3-b06f-3fe3b8cd7b5e,2d7996d9-6f30-5dbe-a002-cc18745352d5,child
2d01f82e-b645-5605-95d9-b39fad9fa87a,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,bd3faec1-be04-55fd-9473-1ff21a604e08,parent
e34773b9-8a24-569f-ad46-de1dfc6e9a22,8c9fd75a-10ee-5a7c-9642-1e51120b1b8b,bd3faec1-be04-55fd-9473-1ff21a604e08,child
1eb43872-1e50-5c7a-82ab-776047e95f6e,676d2791-cc38-5d3c-971b-c03280df17da,d4bcbd9b-a7cc-5e2c-9d2a-3f7cffa5f2ff,parent
f45b68ef-cc8b-52cd-a834-2c86f2acf159,8e6b08c4-55fa-5a73-b291-1b1eda2e4929,d4bcbd9b-a7cc-5e2c-9d2a-3f7cffa5f2ff,child
81259808-7121-55cf-b5f7-4365fce2d432,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,55a5b13e-4868-5118-8f52-22a913213006,parent
49fa878c-6afe-5247-9bca-a61ecc2cdeec,0aa1ec0d-62d0-55bf-ae6f-921eadb1888e,55a5b13e-4868-5118-8f52-22a913213006,child
50fceec5-0f5e-5005-9dba-b6035c78e036,41bc09ce-2a8f-5148-8050-00047e6dc98e,6e7215fc-f5ae-51e3-8f55-3400edc27e14,parent
4749343f-18f3-5fb2-87d4-a9f4e7d8b636,3fdbd2d6-1c5b-559b-8ec8-34a141820de4,6e7215fc-f5ae-51e3-8f55-3400edc27e14,child
178477aa-f2fc-5ed0-b6c7-0739c6e4980e,82215045-ac74-5993-898d-42cbfb3c6344,861d51ed-16e5-5d07-80f7-3773680eb871,parent
c1bd9c57-34cd-5e01-b822-9daa52f8b1e8,c49c9a46-1b35-51db-b88f-1b7d5fe50a10,861d51ed-16e5-5d07-80f7-3773680eb871,child
39ff2900-1cda-5479-9e49-1c753fdf10d4,5c37cdb8-6b22-58b6-a889-485dc31d5c05,0bc5ce3f-14a9-5a26-9938-264a009f226c,parent
734b8305-8fef-509a-9195-fea67db718f6,c3aa2b2e-9e8c-57c7-98c4-cd7189ca037a,0bc5ce3f-14a9-5a26-9938-264a009f226c,child
058f7722-e385-5d3b-8d54-bc0d553642d8,7f024ebd-5a64-5afe-b292-4d01fd190f50,88910a15-f376-5e26-8f13-2ce92c4bcde0,parent
6b9ce2c3-1193-56fe-aa99-f1b7628c6980,913fe2cc-71a0-50ef-a0e8-4c7da5b2753d,88910a15-f376-5e26-8f13-2ce92c4bcde0,child
9590808c-e71d-5975-abd3-412d38acc041,9df7b8bf-351b-5e30-89a6-82005d1a179f,469fa564-2109-591a-8ce1-73e5021b540a,parent
91bdb17d-c0b2-564b-991f-31d60b063b33,7dabfe88-6c0a-5db1-a333-de0f73d4184d,469fa564-2109-591a-8ce1-73e5021b540a,child
112bea3a-65fa-59b0-9a57-52028106919a,9812d956-d5e4-5d7e-8612-28026dcd072f,2b58b157-9a06-5c2e-b622-b423ec43bc3c,parent
220b342d-e95d-541b-b490-2b8af0f81d06,b9e69b94-8dc0-5f90-8a8f-70cecc13909e,2b58b157-9a06-5c2e-b622-b423ec43bc3c,child
6dd60151-9aa7-5226-a95f-82031af303d8,85c08c7b-ff28-59f3-afb5-94373e48830e,1c966d1c-1f2d-5ae4-a9b5-64f618b423f6,parent
c430bb73-4feb-58c2-ac42-83f7ddcc810f,62161118-b953-595c-b7cf-4f4a50b36533,1c966d1c-1f2d-5ae4-a9b5-64f618b423f6,child
2f84a4a1-8b24-5e23-a58b-f32205512092,95d21cc9-763d-51eb-9964-f9a3daa87e3b,25e9a631-b6f9-5231-9661-637da15c09a4,parent
