id,contact_id,role_type_id,group_id,start_date,end_date
8f6d951d-a50d-5771-8403-e4337b727a28,0501440c-0114-5d53-bb84-3db3dea7335c,470d4cb6-2c52-5109-ab13-e9bec7407cec,006518a9-1680-5f17-8706-d4f1c949ed79,2026-01-01,
c5a49c5a-65cd-57fb-8b85-90f3eb6dfe0c,0a00439f-76ff-5fae-b93c-22540659582e,470d4cb6-2c52-5109-ab13-e9bec7407cec,b53f0ce9-745d-5d3e-9467-fd9bd07ef1b2,2026-01-01,
a03f9df9-668a-526e-b9b4-b3eb93a6e97d,cdc701e9-8c9d-5013-a8ce-96656d840406,470d4cb6-2c52-5109-ab13-e9bec7407cec,28c8679f-2cbf-59b7-8275-ff4599488393,2026-01-01,
bfc8c4ab-1d90-5960-9065-12d274a86580,06992024-2cc2-5a57-a9e6-e6adaded018e,470d4cb6-2c52-5109-ab13-e9bec7407cec,0be76074-f220-567c-ae7d-babb5bebaf1e,2026-01-01,
cf85e56e-6dcd-58e0-b4d3-0f87a95b2da4,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,470d4cb6-2c52-5109-ab13-e9bec7407cec,f15a02a1-3a92-5be6-85d9-cc621933eb73,2026-01-01,
b998bea1-17b3-52fc-b800-fd8b2c487325,676d2791-cc38-5d3c-971b-c03280df17da,470d4cb6-2c52-5109-ab13-e9bec7407cec,d9c10b8d-a095-52f7-9578-15bf6d79ef44,2026-01-01,
46d6f496-1d78-5388-a443-d738118f0524,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,470d4cb6-2c52-5109-ab13-e9bec7407cec,7b73d1ef-e8f5-5dc5-82eb-f5be96493015,2026-01-01,
a4df00aa-abb9-58e2-ad0c-32ff69f681f3,41bc09ce-2a8f-5148-8050-00047e6dc98e,a8b14fc1-07f9-55ef-868e-acf278d2d075,168aaf2b-a378-5fef-be22-09ca07d9d5c1,2026-01-01,
fe582f72-3cea-57a7-b523-177c64d9507f,82215045-ac74-5993-898d-42cbfb3c6344,b860ca94-d97e-5ca2-8f34-8c83945842ff,168aaf2b-a378-5fef-be22-09ca07d9d5c1,2026-01-01,
78e90916-4997-5f9c-9adb-19939d26a394,5c37cdb8-6b22-58b6-a889-485dc31d5c05,b860ca94-d97e-5ca2-8f34-8c83945842ff,168aaf2b-a378-5fef-be22-09ca07d9d5c1,2026-01-01,
fff0a5f0-d3f8-544f-81ec-f8e3e82114c0,7f024ebd-5a64-5afe-b292-4d01fd190f50,a8b14fc1-07f9-55ef-868e-acf278d2d075,21ba4cf4-d7cd-5589-a460-3e33628a32c5,2026-01-01,
742b1750-c54c-5062-be91-b473e00af916,9df7b8bf-351b-5e30-89a6-82005d1a179f,b860ca94-d97e-5ca2-8f34-8c83945842ff,21ba4cf4-d7cd-5589-a460-3e33628a32c5,2026-01-01,
