id,contact_id,emergency_contact_id,priority,relationship
ea0fea90-51dc-5207-a44a-775bbb3c19cb,f74d2c51-c64a-5398-99b5-49fbfb97aad8,0501440c-0114-5d53-bb84-3db3dea7335c,1,Parent
60c5f11c-4853-574c-a146-0ad0dd999c8b,1d66991d-a57a-5703-84ea-5f4a1cee6720,0a00439f-76ff-5fae-b93c-22540659582e,1,Parent
44060681-4115-5611-828e-5b6b8b936d8c,2f55596a-8dad-5e3a-8d84-89b2547366ae,cdc701e9-8c9d-5013-a8ce-96656d840406,1,Parent
64062cdd-7f12-52e2-b087-61a544217c82,461032da-a32f-5bc3-b06f-3fe3b8cd7b5e,06992024-2cc2-5a57-a9e6-e6adaded018e,1,Parent
44c1c818-4224-5988-b3a1-01dbf66c3c46,8c9fd75a-10ee-5a7c-9642-1e51120b1b8b,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,1,Parent
c9b0dbfd-bd05-5a1f-9d11-c181c29cac72,8e6b08c4-55fa-5a73-b291-1b1eda2e4929,676d2791-cc38-5d3c-971b-c03280df17da,1,Parent
8045030e-2c21-5136-939a-c393439901d3,0aa1ec0d-62d0-55bf-ae6f-921eadb1888e,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,1,Parent
aed6ec78-12ff-57c8-9df8-853c3ea3f0af,3fdbd2d6-1c5b-559b-8ec8-34a141820de4,41bc09ce-2a8f-5148-8050-00047e6dc98e,1,Parent
0236e320-d7b8-5468-9614-d668699a6463,c49c9a46-1b35-51db-b88f-1b7d5fe50a10,82215045-ac74-5993-898d-42cbfb3c6344,1,Parent
6c9436a6-0886-5a83-986c-0a1090827d97,c3aa2b2e-9e8c-57c7-98c4-cd7189ca037a,5c37cdb8-6b22-58b6-a889-485dc31d5c05,1,Parent
1637c7f5-d337-5215-bb6d-28c5b387f5ee,913fe2cc-71a0-50ef-a0e8-4c7da5b2753d,7f024ebd-5a64-5afe-b292-4d01fd190f50,1,Parent
