id,contact_id,status
10000000-0000-4000-8000-000000000001,0501440c-0114-5d53-bb84-3db3dea7335c,active
7dcbd040-2d79-535c-8957-2ff734093907,0a00439f-76ff-5fae-b93c-22540659582e,active
8fac6f18-f4ad-5a97-990a-aed7b71de5be,cdc701e9-8c9d-5013-a8ce-96656d840406,active
0844501b-0df4-55d6-8039-574f2082909f,06992024-2cc2-5a57-a9e6-e6adaded018e,active
9da251ce-56a4-5ba1-b25b-ee741e0d9840,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,active
92259622-8061-5a7a-873c-1110fe204e6a,676d2791-cc38-5d3c-971b-c03280df17da,active
8b075f93-1fc3-5d12-ac99-c89ebfd56563,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,active
8eb2101b-0423-545f-bc33-1004d7bbdc7a,41bc09ce-2a8f-5148-8050-00047e6dc98e,active
2e8987a2-f778-5632-a653-a416887e5235,82215045-ac74-5993-898d-42cbfb3c6344,active
d3833f66-6358-542e-84d6-b2067a8303aa,5c37cdb8-6b22-58b6-a889-485dc31d5c05,active
08fc90c2-0b43-5cbf-8c6a-8fe0cef3a64b,7f024ebd-5a64-5afe-b292-4d01fd190f50,active
72f48c96-944d-5326-8b61-5a95364ed3c9,9df7b8bf-351b-5e30-89a6-82005d1a179f,active
a99ac4bf-9e0a-509a-a9c2-6d35ab8d0b99,9812d956-d5e4-5d7e-8612-28026dcd072f,active
7a072078-8825-50d8-ac87-76d1fda547b4,85c08c7b-ff28-59f3-afb5-94373e48830e,active
672d4694-9c01-552a-84dd-5552ac31a367,95d21cc9-763d-51eb-9964-f9a3daa87e3b,active
203e9808-3018-57e6-ac48-fe63fd893144,8561f6b4-a461-5a0f-9bd7-cc73526e73bb,active
ee4d9810-7f28-5cf3-832b-b2866393fd14,59cce8c2-3411-5823-bb4b-1b5c9ad186eb,active
da0e55fd-e846-53f2-8605-ff7368237869,87fa71b1-aac6-536c-bf04-3d8fdc6b1282,active
46c255c2-1f8a-5e27-99b2-9129ce537fee,47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,active
aaffe806-fddc-5400-9806-fc80148e57ee,c4e44d3e-20ae-5443-804d-353533332e60,active
f1ce4417-c665-55de-a1f7-22d9fbf1740b,0ba917eb-3677-5b87-a202-950180d75fb9,active
c17baeaf-5e65-5bd4-af2b-32486afe45a0,e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,active
04959ca6-42c6-51f9-85bb-6f304292b420,1d3f89bf-5ddb-5aad-8069-0d4aa57e4722,active
84b0e270-1337-5616-992e-ff0c4b050554,d17408e6-e69b-5e70-84d5-7a78a69b0511,active
74cf3696-535e-531f-83f5-b337421bf68a,d596feae-e6d9-57f5-af88-aaf40d976564,active
43895735-2640-516d-9ab0-3d867598872e,4b1919f6-449e-5c65-879b-2252f8022b9b,active
28c6bda6-74cd-5cd6-869a-bf565aae43d7,cf2f656e-0260-56fe-9467-7514019dca3b,active
79f5d812-6d3d-5e8f-adf9-709d204006db,c2fa7270-6900-5480-88ba-997f55f702cb,active
c86e895e-d893-522b-9c3f-f9e470bc3f1c,a0517e92-fe0f-56cb-b503-c0c83c6388e1,active
ca829c86-5103-5314-9b89-29621c0e6e93,dbf82876-f28a-5d7a-a26c-2afde512e303,active
6e3548e2-f1cd-51bb-959b-a06fe1e0f36e,e2684d1f-12e6-593e-a215-c6841c1c0a39,active
62a1e330-44aa-5ec9-87b2-3500ec553a93,c131d73a-0531-5d67-b85a-8f322fb0b69a,active
9f3e8b27-9130-5afb-84fc-71965222dafc,a4874405-be60-516b-ab41-d592efe48b91,active
f9075bac-cfa4-532c-acfb-d971e5f219c7,b27432a5-ba16-54d0-962a-9888d43baf1e,active
67494388-0c72-5878-a6b4-8379cb708746,883ad074-9359-5c05-91cf-de363b036a85,active
1ae02d84-f947-59e8-82b7-6e3169e9686c,91ab2e53-2248-5260-9dad-cb2328e3749b,active
b4f007b3-640a-586a-883b-d7ecba318c18,465ffae9-67c5-500d-95d8-fc2f4cfcee66,active
9b9eb73b-ef0c-5ca4-ad43-e8469881623e,8735a13c-5a9b-547f-967d-a1fc5ba4a9f6,active
f7ac03cf-d4a3-53fd-9a23-66ccc1bc98c0,0a07e29f-8005-553e-9ff2-137415634b78,active
94f62b8d-dd19-5e7d-9032-2c41f2dc168f,7a7397f0-de78-5e21-bb48-a100ece9ca0f,active
